resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
aluminium,1,PRUNED,30,30.963740305477586,1.0934144742436085,28.31839255365389,0.33018360783801626,"[""copper_ret_1"", ""cement_vol_7"", ""own_z_5"", ""steel_ret_21"", ""cement_z_21"", ""usd_ret_5"", ""oil_ret_5"", ""steel_vol_21"", ""own_ret_lag_45"", ""own_mom_3"", ""own_rsi_14"", ""cement_ret_21"", ""own_mom_30"", ""own_vol_60"", ""own_std_60"", ""ratio_own_cement_z21"", ""own_ret_lag_21"", ""ratio_own_copper"", ""own_max_14"", ""own_ret_lag_60"", ""own_z_3"", ""oil_lag_3"", ""own_lag_45"", ""oil_lag_1"", ""own_logret_lag_2"", ""own_ret_lag_10"", ""own_z_14"", ""own_mean_30"", ""own_mom_5"", ""own_ret_lag_7""]"
aluminium,3,ALL,229,43.23815857161226,1.1246497690563524,38.44588756541659,,
aluminium,3,minus_own_lags,196,44.286068958228284,1.1519065305196683,38.44588756541659,1.0479103866160244,
aluminium,3,minus_own_rolling,172,43.04938743139823,1.1197397213979954,38.44588756541659,-0.18877114021402974,
aluminium,3,minus_own_momentum,200,44.603294218263336,1.1601577448919542,38.44588756541659,1.3651356466510762,
aluminium,3,minus_calendar,223,44.12749134727827,1.1477818341999335,38.44588756541659,0.8893327756660128,
aluminium,3,minus_cross_resource,164,45.46936708398354,1.1826848061867823,38.44588756541659,2.231208512371282,
aluminium,3,minus_fx,221,44.44017138514444,1.1559148246877753,38.44588756541659,1.2020128135321784,
aluminium,3,minus_external_macro,198,43.419367692630516,1.129363124176843,38.44588756541659,0.18120912101825581,
aluminium,3,PRUNED,30,45.19650969959195,1.1755876261846996,38.44588756541659,1.9583511279796895,"[""own_z_45"", ""own_max_5"", ""cement_vol_21"", ""usd_ret_5"", ""cement_vol_7"", ""own_usd_deflated"", ""own_z_5"", ""own_lag_45"", ""own_ret_lag_10"", ""cement_z_7"", ""ratio_own_steel"", ""steel_ret_5"", ""own_mean_5"", ""own_dist_mean_21"", ""cement_ret_5"", ""own_mom_21"", ""ratio_own_copper"", ""oil_ret_5"", ""own_min_3"", ""oil_ret_21"", ""own_vol_ratio"", ""copper_z_21"", ""own_vol_5"", ""own_std_60"", ""natgas_ret_1m"", ""own_ret_30"", ""own_macd_hist"", ""own_rsi_14"", ""own_ret_lag_3"", ""dow""]"
aluminium,7,ALL,229,79.86818375309247,1.3413172932675226,59.54458661941887,,
aluminium,7,minus_own_lags,196,77.12255450726072,1.2952068170393387,59.54458661941887,-2.7456292458317506,
aluminium,7,minus_own_rolling,172,70.02476082064935,1.1760054909477304,59.54458661941887,-9.843422932443119,
aluminium,7,minus_own_momentum,200,76.74324738835249,1.2888366809708396,59.54458661941887,-3.1249363647399804,
aluminium,7,minus_calendar,223,75.60728591535546,1.2697591873229694,59.54458661941887,-4.260897837737005,
aluminium,7,minus_cross_resource,164,85.08441487519299,1.4289193981480255,59.54458661941887,5.216231122100524,
aluminium,7,minus_fx,221,79.67413600429686,1.338058428611431,59.54458661941887,-0.1940477487956116,
aluminium,7,minus_external_macro,198,78.66236864721392,1.3210666680749161,59.54458661941887,-1.2058151058785427,
